region,oktmo,year,Стоимость фиксированного набора потребительских товаров и услуг,Индекс бюджетных расходов
Агинский Бурятский автономный округ,76800000,2000,,
Агинский Бурятский автономный округ,76800000,2001,,
Агинский Бурятский автономный округ,76800000,2002,2969.88,
Агинский Бурятский автономный округ,76800000,2003,3296.65,
Агинский Бурятский автономный округ,76800000,2004,3848.17,
Агинский Бурятский автономный округ,76800000,2005,4593.31,1.2173
Агинский Бурятский автономный округ,76800000,2006,4910.4,
Агинский Бурятский автономный округ,76800000,2007,6022.31,
Агинский Бурятский автономный округ,76800000,2008,6973.55,
Агинский Бурятский автономный округ,76800000,2009,,
Агинский Бурятский автономный округ,76800000,2010,,
Агинский Бурятский автономный округ,76800000,2011,,
Агинский Бурятский автономный округ,76800000,2012,,
Агинский Бурятский автономный округ,76800000,2013,,
Агинский Бурятский автономный округ,76800000,2014,,
Агинский Бурятский автономный округ,76800000,2015,,
Агинский Бурятский автономный округ,76800000,2016,,
Агинский Бурятский автономный округ,76800000,2017,,
Агинский Бурятский автономный округ,76800000,2018,,
Агинский Бурятский автономный округ,76800000,2019,,
Агинский Бурятский автономный округ,76800000,2020,,
Агинский Бурятский автономный округ,76800000,2021,,
Агинский Бурятский автономный округ,76800000,2022,,
Агинский Бурятский автономный округ,76800000,2023,,
Агинский Бурятский автономный округ,76800000,2024,,
Агинский Бурятский автономный округ,76800000,2025,,
Алтайский край,1000000,2000,,
Алтайский край,1000000,2001,,
Алтайский край,1000000,2002,2687.62,
Алтайский край,1000000,2003,3028.34,
Алтайский край,1000000,2004,3545.03,
Алтайский край,1000000,2005,4276.95,0.9806
Алтайский край,1000000,2006,4662.56,0.9423
Алтайский край,1000000,2007,5331.62,0.9405
Алтайский край,1000000,2008,6021.4,0.9118
Алтайский край,1000000,2009,6721.48,0.905
Алтайский край,1000000,2010,7543.02,0.892
Алтайский край,1000000,2011,7768.31,0.903
Алтайский край,1000000,2012,8363.41,0.884
Алтайский край,1000000,2013,9130.34,0.885
Алтайский край,1000000,2014,10622.24,0.908
Алтайский край,1000000,2015,11751.25,0.916
Алтайский край,1000000,2016,12721.27,0.92
Алтайский край,1000000,2017,13158.02,0.927
Алтайский край,1000000,2018,13780.25,0.936
Алтайский край,1000000,2019,14609.96,0.939
Алтайский край,1000000,2020,15511.69,0.944
Алтайский край,1000000,2021,17340.79,0.947
Алтайский край,1000000,2022,19712.02,0.947
Алтайский край,1000000,2023,21082.73,0.947
Алтайский край,1000000,2024,24042.58,0.947
Алтайский край,1000000,2025,25962.93,0.938
Амурская область,10000000,2000,,
Амурская область,10000000,2001,,
Амурская область,10000000,2002,3341.74,
Амурская область,10000000,2003,3982.03,
Амурская область,10000000,2004,4645.47,
Амурская область,10000000,2005,5512.74,1.641
Амурская область,10000000,2006,6132.03,1.5891
Амурская область,10000000,2007,6826.86,1.4473
Амурская область,10000000,2008,7666.47,1.451
Амурская область,10000000,2009,8627.7,1.401
Амурская область,10000000,2010,9564.78,1.395
Амурская область,10000000,2011,10552.55,1.417
Амурская область,10000000,2012,11179.04,1.411
Амурская область,10000000,2013,12120.4,1.426
Амурская область,10000000,2014,13318.51,1.417
Амурская область,10000000,2015,14742.14,1.41
Амурская область,10000000,2016,14930.45,1.41
Амурская область,10000000,2017,15162.13,1.393
Амурская область,10000000,2018,15937.38,1.321
Амурская область,10000000,2019,16673.61,1.311
Амурская область,10000000,2020,18041.26,1.315
Амурская область,10000000,2021,19251.26,1.314
Амурская область,10000000,2022,21190.57,1.314
Амурская область,10000000,2023,22360.04,1.314
Амурская область,10000000,2024,24873.81,1.314
Амурская область,10000000,2025,26842.33,1.224
Архангельская область,11700000,2000,,
Архангельская область,11700000,2001,,
Архангельская область,11700000,2002,3356.96,
Архангельская область,11700000,2003,3783.96,
Архангельская область,11700000,2004,4293.5,
Архангельская область,11700000,2005,4950.8,1.5011
Архангельская область,11700000,2006,5503.85,1.6436
Архангельская область,11700000,2007,6683.02,1.6515
Архангельская область,11700000,2008,7590.32,1.588
Архангельская область,11700000,2009,8590.19,1.62
Архангельская область,11700000,2010,9838.71,1.573
Архангельская область,11700000,2011,10505.85,1.609
Архангельская область,11700000,2012,11061.89,1.625
Архангельская область,11700000,2013,12272.73,1.621
Архангельская область,11700000,2014,13358.82,1.628
Архангельская область,11700000,2015,14799.33,1.553
Архангельская область,11700000,2016,15816.85,1.552
Архангельская область,11700000,2017,16329.81,1.552
Архангельская область,11700000,2018,16921.14,1.558
Архангельская область,11700000,2019,17562.96,1.568
Архангельская область,11700000,2020,18525.87,1.556
Архангельская область,11700000,2021,20200.96,1.556
Архангельская область,11700000,2022,22119.74,1.554
Архангельская область,11700000,2023,23637.03,1.554
Архангельская область,11700000,2024,26013.11,1.554
Архангельская область,11700000,2025,28059.99,1.408
Архангельская область без автономного округа,11000000,2000,,
Архангельская область без автономного округа,11000000,2001,,
Архангельская область без автономного округа,11000000,2002,,
Архангельская область без автономного округа,11000000,2003,,
Архангельская область без автономного округа,11000000,2004,,
Архангельская область без автономного округа,11000000,2005,,
Архангельская область без автономного округа,11000000,2006,,
Архангельская область без автономного округа,11000000,2007,,
Архангельская область без автономного округа,11000000,2008,,
Архангельская область без автономного округа,11000000,2009,,
Архангельская область без автономного округа,11000000,2010,,
Архангельская область без автономного округа,11000000,2011,,
Архангельская область без автономного округа,11000000,2012,,
Архангельская область без автономного округа,11000000,2013,12128.26,
Архангельская область без автономного округа,11000000,2014,13213.71,
Архангельская область без автономного округа,11000000,2015,14639.54,
Архангельская область без автономного округа,11000000,2016,15670.66,
Архангельская область без автономного округа,11000000,2017,16183.51,
Архангельская область без автономного округа,11000000,2018,16788.63,
Архангельская область без автономного округа,11000000,2019,17442.2,
Архангельская область без автономного округа,11000000,2020,18420.65,
Архангельская область без автономного округа,11000000,2021,20111.33,
Архангельская область без автономного округа,11000000,2022,22015.43,
Архангельская область без автономного округа,11000000,2023,23539.85,
Архангельская область без автономного округа,11000000,2024,25932.62,
Архангельская область без автономного округа,11000000,2025,28004.87,
Астраханская область,12000000,2000,,
Астраханская область,12000000,2001,,
Астраханская область,12000000,2002,2925.24,
Астраханская область,12000000,2003,3248.45,
Астраханская область,12000000,2004,3528.06,
Астраханская область,12000000,2005,4090.6,0.7547
Астраханская область,12000000,2006,4712.62,0.7915
Астраханская область,12000000,2007,5489.59,0.7975
Астраханская область,12000000,2008,6141.05,0.7906
Астраханская область,12000000,2009,6730.92,0.795
Астраханская область,12000000,2010,7648.35,0.777
Астраханская область,12000000,2011,8018.79,0.78
Астраханская область,12000000,2012,8528.1,0.789
Астраханская область,12000000,2013,9235.31,0.799
