Субъекты РФ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Белгородская область,"0,8073","0,7898","0,8206","0,8266","0,825","0,807","0,816","0,823","0,829","0,827","0,839","0,842","0,836","0,838","0,842","0,847","0,847","0,848","0,848","0,848","0,831"
Брянская область,"0,8558","0,8407","0,8712","0,8756","0,877","0,857","0,87","0,877","0,869","0,864","0,877","0,886","0,886","0,891","0,893","0,892","0,895","0,899","0,899","0,899","0,895"
Владимирская область,"0,8123","0,7938","0,8548","0,8497","0,87","0,852","0,864","0,871","0,875","0,867","0,886","0,897","0,89","0,891","0,894","0,896","0,893","0,892","0,892","0,892","0,906"
Воронежская область,"0,8201","0,8335","0,8431","0,8321","0,831","0,825","0,856","0,859","0,841","0,823","0,825","0,829","0,832","0,835","0,836","0,838","0,837","0,84","0,84","0,84","0,838"
Ивановская область,"0,8515","0,8904","0,8617","0,8658","0,866","0,858","0,87","0,878","0,874","0,871","0,874","0,88","0,883","0,883","0,89","0,889","0,882","0,877","0,877","0,877","0,835"
Калужская область,"0,8648","0,8344","0,8803","0,8913","0,879","0,865","0,877","0,881","0,865","0,861","0,882","0,904","0,904","0,907","0,912","0,913","0,914","0,913","0,913","0,913","0,905"
Костромская область,"0,8783","0,9043","0,8896","0,8759","0,882","0,883","0,897","0,914","0,889","0,898","0,9","0,902","0,904","0,906","0,905","0,903","0,912","0,925","0,925","0,925","0,905"
Курская область,"0,8946","0,8847","0,913","0,9019","0,912","0,906","0,922","0,931","0,905","0,894","0,893","0,893","0,898","0,906","0,902","0,913","0,912","0,915","0,915","0,915","0,917"
Липецкая область,"0,8012","0,8152","0,8318","0,8292","0,824","0,822","0,833","0,846","0,844","0,837","0,838","0,84","0,832","0,835","0,841","0,848","0,846","0,852","0,852","0,852","0,845"
Московская область,"0,8237","0,8713","0,8622","0,8766","0,886","0,884","0,896","0,893","0,894","0,885","0,885","0,9","0,89","0,893","0,905","0,908","0,897","0,889","0,889","0,889","0,957"
Орловская область,"0,8753","0,846","0,9029","0,9089","0,896","0,896","0,907","0,912","0,901","0,897","0,917","0,923","0,931","0,932","0,928","0,927","0,924","0,92","0,92","0,92","0,899"
Рязанская область,"0,8607","0,8866","0,8989","0,8958","0,91","0,908","0,92","0,921","0,905","0,902","0,9","0,905","0,899","0,904","0,918","0,923","0,924","0,925","0,925","0,925","0,928"
Смоленская область,"0,856","0,8913","0,8905","0,8873","0,893","0,894","0,912","0,932","0,898","0,9","0,91","0,926","0,927","0,922","0,92","0,918","0,913","0,915","0,915","0,915","0,909"
Тамбовская область,"0,8278","0,8661","0,8597","0,8715","0,884","0,874","0,897","0,897","0,885","0,881","0,882","0,888","0,881","0,886","0,878","0,881","0,881","0,88","0,88","0,88","0,864"
Тверская область,"0,91","0,9549","0,9576","0,9565","0,967","0,956","0,962","0,96","0,946","0,947","0,95","0,955","0,952","0,945","0,938","0,938","0,936","0,933","0,933","0,933","0,92"
Тульская область,"0,8211","0,8148","0,8473","0,846","0,857","0,854","0,869","0,876","0,872","0,867","0,875","0,884","0,872","0,876","0,889","0,883","0,893","0,898","0,898","0,898","0,921"
Ярославская область,"0,833","0,8335","0,8445","0,85","0,851","0,84","0,856","0,866","0,868","0,863","0,872","0,881","0,883","0,883","0,885","0,884","0,887","0,886","0,886","0,886","0,89"
г.Москва,"0,8457","0,8709","0,9177","0,9379","0,926","0,908","0,939","0,945","0,948","0,947","0,95","0,926","0,917","0,943","0,94","0,938","0,943","0,945","0,945","0,945","1,169"
Республика Карелия,"1,326","1,3322","1,3197","1,3","1,311","1,325","1,328","1,336","1,353","1,351","1,369","1,374","1,376","1,367","1,366","1,365","1,361","1,355","1,355","1,355","1,217"
Республика Коми,"1,597","1,5284","1,5402","1,5359","1,565","1,568","1,584","1,58","1,581","1,574","1,576","1,58","1,571","1,588","1,596","1,599","1,59","1,593","1,593","1,593","1,455"
Архангельская область,"1,5011","1,6436","1,6515","1,588","1,62","1,573","1,609","1,625","1,621","1,628","1,553","1,552","1,552","1,558","1,568","1,556","1,556","1,554","1,554","1,554","1,408"
Вологодская область,"0,957","0,9279","0,9903","1,02","1,023","1,032","1,024","1,035","1,015","1,014","1,015","1,019","1,02","1,022","1,027","1,022","1,021","1,026","1,026","1,026","1,021"
Калининградская область,"0,9074","0,9139","0,8942","0,8919","0,896","0,869","0,883","0,882","0,878","0,871","0,87","0,866","0,872","0,885","0,889","0,887","0,886","0,887","0,887","0,887","0,896"
Ленинградская область,"0,8757","0,8842","0,8628","0,8692","0,862","0,914","0,871","0,876","0,876","0,88","0,89","0,895","0,895","0,893","0,893","0,888","0,884","0,875","0,875","0,875","0,887"
Мурманская область,"1,6983","1,6426","1,5813","1,5646","1,576","1,505","1,58","1,589","1,587","1,58","1,587","1,592","1,596","1,584","1,584","1,583","1,589","1,584","1,584","1,584","1,417"
Новгородская область,"0,9236","0,9704","0,9448","0,9439","0,965","0,934","0,965","0,971","0,963","0,957","0,962","0,965","0,961","0,965","0,964","0,965","0,969","0,965","0,965","0,965","0,953"
Псковская область,"0,9548","0,9721","0,9621","0,9657","0,956","1,005","0,973","0,98","0,948","0,949","0,967","0,973","0,973","0,974","0,969","0,971","0,964","0,961","0,961","0,961","0,941"
г.Санкт-Петербург,"0,8008","0,7935","0,7988","0,8126","0,815","0,932","0,817","0,822","0,82","0,814","0,811","0,817","0,821","0,82","0,823","0,819","0,821","0,822","0,822","0,822","0,94"
Ненецкий автономный округ,"4,3611","1,6436",,,,,,,,,"4,501","4,694","4,535","4,376","4,266","4,199","4,171","4,182","4,182","4,182","3,951"
Республика Адыгея (Адыгея),"0,8029","0,88","0,8564","0,8673","0,857","0,83","0,824","0,825","0,835","0,824","0,829","0,838","0,834","0,834","0,839","0,833","0,832","0,832","0,832","0,832","0,824"
Республика Крым,,,,,,,,,,,"0,798","0,726","0,767","0,795","0,807","0,832","0,824","0,832","0,832","0,832","0,858"
Республика Калмыкия,"0,8401","0,828","0,857","0,8473","0,841","0,834","0,834","0,839","0,832","0,834","0,848","0,859","0,861","0,857","0,868","0,88","0,888","0,894","0,894","0,894","0,892"
г.Севастополь,,,,,,,,,,,"0,748","0,679","0,718","0,761","0,771","0,808","0,805","0,801","0,801","0,801","0,801"
Краснодарский край,"0,8147","0,8499","0,8506","0,8217","0,814","0,803","0,832","0,82","0,822","0,813","0,826","0,843","0,848","0,851","0,857","0,859","0,858","0,855","0,855","0,855","0,865"
Астраханская область,"0,7547","0,7915","0,7975","0,7906","0,795","0,777","0,78","0,789","0,799","0,778","0,791","0,809","0,808","0,815","0,8","0,798","0,804","0,803","0,803","0,803","0,81"
Волгоградская область,"0,7968","0,8158","0,8169","0,8119","0,823","0,812","0,824","0,831","0,834","0,825","0,819","0,821","0,824","0,826","0,829","0,827","0,824","0,82","0,82","0,82","0,792"
Ростовская область,"0,8053","0,8341","0,8317","0,8356","0,835","0,833","0,838","0,841","0,848","0,847","0,847","0,848","0,846","0,845","0,845","0,843","0,844","0,847","0,847","0,847","0,835"
Республика Дагестан,"0,8374","0,8014","0,8496","0,8325","0,851","0,844","0,839","0,837","0,852","0,836","0,826","0,829","0,832","0,831","0,83","0,83","0,832","0,836","0,836","0,836","0,801"
