object_name,okato,oktmo,Год,Всего,Мужчины,Женщины,Городское население,Сельское население,0–17 лет,18 лет и старше,Моложе трудоспособного,В трудоспособном возрасте,Старше трудоспособного,Население пенсионного возраста
Агинский Бурятский автономный округ,76100000,76800000,2000,71307.0,34612.0,36695.0,24288.0,47019.0,26479.0,44828.0,23466.0,39991.0,7850.0,3981.0
Агинский Бурятский автономный округ,76100000,76800000,2001,71162.0,34582.0,36580.0,24530.0,46632.0,25742.0,45420.0,23040.0,40213.0,7909.0,4026.0
Агинский Бурятский автономный округ,76100000,76800000,2002,71777.0,34914.0,36863.0,25097.0,46680.0,25343.0,46434.0,22763.0,40637.0,8377.0,4495.0
Агинский Бурятский автономный округ,76100000,76800000,2003,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2004,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2005,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2006,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2007,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2008,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2009,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2010,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2011,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2012,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2013,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2014,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2015,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2016,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2017,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2018,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2019,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2020,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2021,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2022,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2023,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2024,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2025,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2000_avg,71234.0,34597.0,36638.0,24409.0,46826.0,26110.0,45124.0,23253.0,40102.0,7880.0,4004.0
Агинский Бурятский автономный округ,76100000,76800000,2001_avg,71470.0,34748.0,36722.0,24814.0,46656.0,25542.0,45927.0,22902.0,40425.0,8143.0,4260.0
Агинский Бурятский автономный округ,76100000,76800000,2002_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2003_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2004_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2005_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2006_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2007_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2008_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2009_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2010_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2011_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2012_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2013_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2014_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2015_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2016_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2017_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2018_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2019_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2020_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2021_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2022_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2023_avg,,,,,,,,,,,
Агинский Бурятский автономный округ,76100000,76800000,2024_avg,,,,,,,,,,,
Алтайский край,01000000,01000000,2000,2651628.0,1242788.0,1408840.0,1399147.0,1252481.0,628710.0,2022918.0,530951.0,1584498.0,536179.0,308946.0
Алтайский край,01000000,01000000,2001,2641079.0,1235924.0,1405155.0,1394446.0,1246633.0,605625.0,2035454.0,508362.0,1602096.0,530621.0,308419.0
Алтайский край,01000000,01000000,2002,2621050.0,1223776.0,1397274.0,1390705.0,1230345.0,580764.0,2040286.0,485696.0,1608270.0,527084.0,307706.0
Алтайский край,01000000,01000000,2003,2602595.0,1212517.0,1390078.0,1385392.0,1217203.0,558119.0,2044476.0,464086.0,1616992.0,521517.0,308132.0
Алтайский край,01000000,01000000,2004,2571987.0,1196488.0,1375499.0,1375395.0,1196592.0,534764.0,2037223.0,442603.0,1613803.0,515581.0,314456.0
Алтайский край,01000000,01000000,2005,2539430.0,1179298.0,1360132.0,1364049.0,1175381.0,512163.0,2027267.0,424158.0,1602645.0,512627.0,321998.0
Алтайский край,01000000,01000000,2006,2503510.0,1160682.0,1342828.0,1351083.0,1152427.0,490477.0,2013033.0,409382.0,1583732.0,510396.0,327493.0
Алтайский край,01000000,01000000,2007,2473024.0,1144768.0,1328256.0,1340056.0,1132968.0,471161.0,2001863.0,396277.0,1562232.0,514515.0,330537.0
Алтайский край,01000000,01000000,2008,2453455.0,1134837.0,1318618.0,1332654.0,1120801.0,458237.0,1995218.0,390711.0,1541647.0,521097.0,328563.0
Алтайский край,01000000,01000000,2009,2438910.0,1127248.0,1311662.0,1329270.0,1109640.0,451375.0,1987535.0,391221.0,1518751.0,528938.0,318126.0
Алтайский край,01000000,01000000,2010,2430765.0,1123186.0,1307579.0,1320132.0,1110633.0,449702.0,1981063.0,396452.0,1493828.0,540485.0,305031.0
Алтайский край,01000000,01000000,2011,2417358.0,1116398.0,1300960.0,1324015.0,1093343.0,449377.0,1967981.0,400244.0,1464683.0,552431.0,292386.0
Алтайский край,01000000,01000000,2012,2396786.0,1106307.0,1290479.0,1323140.0,1073646.0,453504.0,1943282.0,406726.0,1427830.0,562230.0,282504.0
Алтайский край,01000000,01000000,2013,2377980.0,1096643.0,1281337.0,1322198.0,1055782.0,459750.0,1918230.0,415707.0,1390691.0,571582.0,280569.0
Алтайский край,01000000,01000000,2014,2359540.0,1087517.0,1272023.0,1319948.0,1039592.0,466864.0,1892676.0,424265.0,1353382.0,581893.0,284799.0
Алтайский край,01000000,01000000,2015,2343388.0,1079164.0,1264224.0,1318094.0,1025294.0,474332.0,1869056.0,431680.0,1319796.0,591912.0,290114.0
Алтайский край,01000000,01000000,2016,2325025.0,1070054.0,1254971.0,1313428.0,1011597.0,481266.0,1843759.0,437830.0,1285036.0,602159.0,296682.0
Алтайский край,01000000,01000000,2017,2303606.0,1058799.0,1244807.0,1305206.0,998400.0,485710.0,1817896.0,440636.0,1253395.0,609575.0,303449.0
Алтайский край,01000000,01000000,2018,2277683.0,1046054.0,1231629.0,1295770.0,981913.0,486482.0,1791201.0,441882.0,1219934.0,615867.0,309499.0
Алтайский край,01000000,01000000,2019,2250096.0,1032540.0,1217556.0,1287629.0,962467.0,483696.0,1766400.0,440154.0,1190012.0,619930.0,313959.0
Алтайский край,01000000,01000000,2020,2224119.0,1019375.0,1204744.0,1280224.0,943895.0,481809.0,1742310.0,435158.0,1198139.0,590822.0,319621.0
Алтайский край,01000000,01000000,2021,2193007.0,1003607.0,1189400.0,1269301.0,923706.0,478022.0,1714985.0,429782.0,1175912.0,587313.0,322154.0
Алтайский край,01000000,01000000,2022,2154932.0,985906.0,1169026.0,1254959.0,899973.0,471848.0,1683084.0,424089.0,1182444.0,548399.0,322001.0
Алтайский край,01000000,01000000,2023,2130950.0,973150.0,1157800.0,1242728.0,888222.0,465033.0,1665917.0,417950.0,1162062.0,550938.0,330598.0
Алтайский край,01000000,01000000,2024,2115308.0,964969.0,1150339.0,1237124.0,878184.0,458092.0,1657216.0,407856.0,1179601.0,527851.0,345399.0
Алтайский край,01000000,01000000,2025,2099186.0,955975.0,1143211.0,1232865.0,866321.0,450607.0,1648579.0,394182.0,1174135.0,530869.0,359198.0
Алтайский край,01000000,01000000,2000_avg,2646354.0,1239356.0,1406998.0,1396796.0,1249557.0,617168.0,2029186.0,519656.0,1593297.0,533400.0,308682.0
Алтайский край,01000000,01000000,2001_avg,2631064.0,1229850.0,1401214.0,1392576.0,1238489.0,593194.0,2037870.0,497029.0,1605183.0,528852.0,308062.0
Алтайский край,01000000,01000000,2002_avg,2611822.0,1218146.0,1393676.0,1388048.0,1223774.0,569442.0,2042381.0,474891.0,1612631.0,524300.0,307919.0
Алтайский край,01000000,01000000,2003_avg,2587291.0,1204502.0,1382788.0,1380394.0,1206898.0,546442.0,2040850.0,453344.0,1615398.0,518549.0,311294.0
Алтайский край,01000000,01000000,2004_avg,2555708.0,1187893.0,1367816.0,1369722.0,1185986.0,523464.0,2032245.0,433380.0,1608224.0,514104.0,318227.0
Алтайский край,01000000,01000000,2005_avg,2521470.0,1169990.0,1351480.0,1357566.0,1163904.0,501320.0,2020150.0,416770.0,1593188.0,511512.0,324746.0
Алтайский край,01000000,01000000,2006_avg,2488267.0,1152725.0,1335542.0,1345570.0,1142698.0,480819.0,2007448.0,402830.0,1572982.0,512456.0,329015.0
Алтайский край,01000000,01000000,2007_avg,2463240.0,1139802.0,1323437.0,1336355.0,1126884.0,464699.0,1998540.0,393494.0,1551940.0,517806.0,329550.0
Алтайский край,01000000,01000000,2008_avg,2446182.0,1131042.0,1315140.0,1330962.0,1115220.0,454806.0,1991376.0,390966.0,1530199.0,525018.0,323344.0
Алтайский край,01000000,01000000,2009_avg,2434838.0,1125217.0,1309620.0,1324701.0,1110136.0,450538.0,1984299.0,393836.0,1506290.0,534712.0,311578.0
Алтайский край,01000000,01000000,2010_avg,2424062.0,1119792.0,1304270.0,1322074.0,1101988.0,449540.0,1974522.0,398348.0,1479256.0,546458.0,298708.0
Алтайский край,01000000,01000000,2011_avg,2407072.0,1111352.0,1295720.0,1323578.0,1083494.0,451440.0,1955632.0,403485.0,1446256.0,557330.0,287445.0
Алтайский край,01000000,01000000,2012_avg,2387383.0,1101475.0,1285908.0,1322669.0,1064714.0,456627.0,1930756.0,411216.0,1409260.0,566906.0,281536.0
Алтайский край,01000000,01000000,2013_avg,2368760.0,1092080.0,1276680.0,1321073.0,1047687.0,463307.0,1905453.0,419986.0,1372036.0,576738.0,282684.0
Алтайский край,01000000,01000000,2014_avg,2351464.0,1083340.0,1268124.0,1319021.0,1032443.0,470598.0,1880866.0,427972.0,1336589.0,586902.0,287456.0
Алтайский край,01000000,01000000,2015_avg,2334206.0,1074609.0,1259598.0,1315761.0,1018446.0,477799.0,1856408.0,434755.0,1302416.0,597036.0,293398.0
Алтайский край,01000000,01000000,2016_avg,2314316.0,1064426.0,1249889.0,1309317.0,1004998.0,483488.0,1830828.0,439233.0,1269216.0,605867.0,300066.0
Алтайский край,01000000,01000000,2017_avg,2290644.0,1052426.0,1238218.0,1300488.0,990156.0,486096.0,1804548.0,441259.0,1236664.0,612721.0,306474.0
Алтайский край,01000000,01000000,2018_avg,2263890.0,1039297.0,1224592.0,1291700.0,972190.0,485089.0,1778800.0,441018.0,1204973.0,617898.0,311729.0
Алтайский край,01000000,01000000,2019_avg,2237108.0,1025958.0,1211150.0,1283926.0,953181.0,482752.0,1754355.0,437656.0,1194076.0,605376.0,316790.0
Алтайский край,01000000,01000000,2020_avg,2208563.0,1011491.0,1197072.0,1274762.0,933800.0,479916.0,1728648.0,432470.0,1187026.0,589068.0,320888.0
Алтайский край,01000000,01000000,2021_avg,2173970.0,994756.0,1179213.0,1262130.0,911840.0,474935.0,1699034.0,426936.0,1179178.0,567856.0,322078.0
Алтайский край,01000000,01000000,2022_avg,2142941.0,979528.0,1163413.0,1248844.0,894098.0,468440.0,1674500.0,421020.0,1172253.0,549668.0,326300.0
Алтайский край,01000000,01000000,2023_avg,2123129.0,969060.0,1154070.0,1239926.0,883203.0,461562.0,1661566.0,412903.0,1170832.0,539394.0,337998.0
Алтайский край,01000000,01000000,2024_avg,2107247.0,960472.0,1146775.0,1234994.0,872252.0,454350.0,1652898.0,401019.0,1176868.0,529360.0,352298.0
Амурская область,10000000,10000000,2000,935607.0,455209.0,480398.0,621766.0,313841.0,245744.0,689863.0,208736.0,580645.0,146226.0,73125.0
