object_name;object_level;oktmo;year;pop_total;pop_men;pop_women;pop_urban;pop_rural;pop_0_17;pop_18_plus;pop_below_working;pop_working;pop_above_working;pop_pension;pop_total_avg;pop_men_avg;pop_women_avg;pop_urban_avg;pop_rural_avg;pop_0_17_avg;pop_18_plus_avg;pop_below_working_avg;pop_working_avg;pop_above_working_avg;pop_pension_avg;fixed_basket;ibr
Агинский Бурятский автономный округ;регион;76800000;2000;71307.0;34612.0;36695.0;24288.0;47019.0;26479.0;44828.0;23466.0;39991.0;7850.0;3981.0;71234.0;34597.0;36638.0;24409.0;46826.0;26110.0;45124.0;23253.0;40102.0;7880.0;4004.0;;
Агинский Бурятский автономный округ;регион;76800000;2001;71162.0;34582.0;36580.0;24530.0;46632.0;25742.0;45420.0;23040.0;40213.0;7909.0;4026.0;71470.0;34748.0;36722.0;24814.0;46656.0;25542.0;45927.0;22902.0;40425.0;8143.0;4260.0;;
Агинский Бурятский автономный округ;регион;76800000;2002;71777.0;34914.0;36863.0;25097.0;46680.0;25343.0;46434.0;22763.0;40637.0;8377.0;4495.0;;;;;;;;;;;;2969.88;
Агинский Бурятский автономный округ;регион;76800000;2003;;;;;;;;;;;;;;;;;;;;;;;3296.65;
Агинский Бурятский автономный округ;регион;76800000;2004;;;;;;;;;;;;;;;;;;;;;;;3848.17;
Агинский Бурятский автономный округ;регион;76800000;2005;;;;;;;;;;;;;;;;;;;;;;;4593.31;1.2173
Агинский Бурятский автономный округ;регион;76800000;2006;;;;;;;;;;;;;;;;;;;;;;;4910.4;
Агинский Бурятский автономный округ;регион;76800000;2007;;;;;;;;;;;;;;;;;;;;;;;6022.31;
Агинский Бурятский автономный округ;регион;76800000;2008;;;;;;;;;;;;;;;;;;;;;;;6973.55;
Агинский Бурятский автономный округ;регион;76800000;2009;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2010;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2011;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2012;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2013;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2014;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2015;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2016;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2017;;;;;;;;;;;;;;;;;;;;;;;;
Агинский Бурятский автономный округ;регион;76800000;2018;;;;;;;;;;;;;;;;;;;;;;;;
